CQP EMPLOYE DE COMMERCE,D1507,"Mise en rayon libre-service (Employé polyvalent / Employée polyvalente de libre-service,Employé / Employée de rayon équipement de la maison....)",mise-en-rayon-libre-service
CQP EMPLOYE DE COMMERCE,D1505,Personnel de caisse (Hôte / Hôtesse de caisse...),personnel-de-caisse
COMMERCE,D1402,Relation commerciale grands comptes et entreprises (Commercial / Commerciale en publicité auprès des entreprises....),relation-commerciale-grands-comptes-et-entreprises
COMMERCE,D1403,Relation commerciale auprès de particuliers (Commercial / Commerciale auprès des particuliers),relation-commerciale-aupres-de-particuliers
COMMERCE,D1401,Assistanat commercial,assistanat-commercial
COMMERCE,E1101,Animation de site multimédia ( Web commercial / commerciale),animation-de-site-multimedia
COMMERCE,C1102,Conseil clientèle en assurances ( Collaborateur commercial / Collaboratrice commerciale en assurances...),conseil-clientele-en-assurances
COMMERCE,C1201,Accueil et services bancaires (Chargé / Chargée d'accueil et de services clientèle bancaire...),accueil-et-services-bancaires
COMMERCE,D1404,Relation commerciale en vente de véhicules (Vendeur / Vendeuse automobile…),relation-commerciale-en-vente-de-vehicules
COMMERCE,D1407,Relation technico-commerciale (Technico-commercial / Technico-commerciale…),relation-technico-commerciale
COMMERCE,C1504,Transaction immobilière (Agent / Agente immobilier….),transaction-immobiliere
COMMERCE,M1707,Stratégie commerciale (Responsable du développement commercial…),strategie-commerciale
COMMERCE,M1701,Administration des ventes (Responsable de la gestion des commandes….),administration-des-ventes
COMMERCE,M1704,Management relation clientèle (Chargé / Chargée de clientèle e-commerce…),management-relation-clientele
COMMERCE,M1705,Marketing (Assistant / Assistante marketing….),marketing
COMMERCE,M1101,Achats (Acheteur / Acheteuse junior….),achats
COMMERCE,D1406,Management en force de vente (Manager commercial junior / Manageuse commerciale junior des forces de vente….),management-en-force-de-vente
COMMERCE,D1408,Téléconseil et télévente (Conseiller / Conseillère clientèle à distance…),teleconseil-et-televente
COMMERCE,D1214,Vente en habillement et accessoires de la personne (Vendeur / Vendeuse en prêt-à-porter masculin….),vente-en-habillement-et-accessoires-de-la-personne
COMMERCE,D1212,"Vente en décoration et équipement du foyer ( Vendeur/ Vendeuse de cuisine, de produits mutimédia, d'électroménager….)",vente-en-decoration-et-equipement-du-foyer
COMMERCE,D1211,"Vente en articles de sport et loisirs (Vendeur / Vendeuse en équipement de sport, en jeux en jeux électroniquesen papeterie….)",vente-en-articles-de-sport-et-loisirs
COMMERCE,D1106,"Vente en alimentation ( Vendeur/Vendeuse en fruits et légumes, en boulangerie….)",vente-en-alimentation
COMMERCE,D1501,Animation de vente(Animateur / Animatrice de vente…),animation-de-vente
COMMERCIAL,D1402,Relation commerciale grands comptes et entreprises (Commercial / Commerciale en publicité auprès des entreprises....),relation-commerciale-grands-comptes-et-entreprises
COMMERCIAL,D1403,Relation commerciale auprès de particuliers (Commercial / Commerciale auprès des particuliers),relation-commerciale-aupres-de-particuliers
COMMERCIAL,D1401,Assistanat commercial,assistanat-commercial
COMMERCIAL,E1101,Animation de site multimédia ( Web commercial / commerciale),animation-de-site-multimedia
COMMERCIAL,C1102,Conseil clientèle en assurances ( Collaborateur commercial / Collaboratrice commerciale en assurances...),conseil-clientele-en-assurances
COMMERCIAL,C1201,Accueil et services bancaires (Chargé / Chargée d'accueil et de services clientèle bancaire...),accueil-et-services-bancaires
COMMERCIAL,D1404,Relation commerciale en vente de véhicules (Vendeur / Vendeuse automobile…),relation-commerciale-en-vente-de-vehicules
COMMERCIAL,D1507,Relation technico-commerciale (Technico-commercial / Technico-commerciale…),relation-technico-commerciale
COMMERCIAL,C1504,Transaction immobilière (Agent / Agente immobilier….),transaction-immobiliere
COMMERCIAL,M1707,Stratégie commerciale (Responsable du développement commercial…),strategie-commerciale
COMMERCIAL,M1701,Administration des ventes (Responsable de la gestion des commandes….),administration-des-ventes
COMMERCIAL,M1704,Management relation clientèle (Chargé / Chargée de clientèle e-commerce…),management-relation-clientele
COMMERCIAL,M1705,Marketing (Assistant / Assistante marketing….),marketing
COMMERCIAL,M1101,Achats (Acheteur / Acheteuse junior….),achats
COMMERCIAL,D1406,Management en force de vente (Manager commercial junior / Manageuse commerciale junior des forces de vente….),management-en-force-de-vente
COMMERCIAL,D1408,Téléconseil et télévente (Conseiller / Conseillère clientèle à distance…),teleconseil-et-televente
COMMERCIAL,D1214,Vente en habillement et accessoires de la personne (Vendeur / Vendeuse en prêt-à-porter masculin….),vente-en-habillement-et-accessoires-de-la-personne
COMMERCIAL,D1212,"Vente en décoration et équipement du foyer ( Vendeur/ Vendeuse de cuisine, de produits mutimédia, d'électroménager….)",vente-en-decoration-et-equipement-du-foyer
COMMERCIAL,D1211,"Vente en articles de sport et loisirs (Vendeur / Vendeuse en équipement de sport, en jeux en jeux électroniquesen papeterie….)",vente-en-articles-de-sport-et-loisirs
COMMERCIAL,D1106,"Vente en alimentation ( Vendeur/Vendeuse en fruits et légumes, en boulangerie….)",vente-en-alimentation
COMMERCIAL,D1501,Animation de vente(Animateur / Animatrice de vente…),animation-de-vente
VENDEUR,D1404,Relation commerciale en vente de véhicules (Vendeur / Vendeuse automobile…),relation-commerciale-en-vente-de-vehicules
VENDEUR,D1214,Vente en habillement et accessoires de la personne (Vendeur / Vendeuse en prêt-à-porter masculin….),vente-en-habillement-et-accessoires-de-la-personne
VENDEUR,D1212,"Vente en décoration et équipement du foyer ( Vendeur/ Vendeuse de cuisine, de produits mutimédia, d'électroménager….)",vente-en-decoration-et-equipement-du-foyer
VENDEUR,D1501,Animation de vente(Animateur / Animatrice de vente…),animation-de-vente
VENDEUR,D1408,Téléconseil et télévente (Conseiller / Conseillère clientèle à distance…),teleconseil-et-televente
VENDEUR,D1106,"Vente en alimentation ( Vendeur/Vendeuse en fruits et légumes, en boulangerie….)",vente-en-alimentation
VENDEUR,G1303,Vente de voyages,vente-de-voyages
VENDEUR,D1201,"Achat vente d'objets d'art, anciens ou d'occasion (Vendeur / Vendeuse en antiquités…)",achat-vente-d-objets-d-art-anciens-ou-d-occasion
VENDEUR,D1209,Vente en végétaux,vente-en-vegetaux
VENDEUR,D1210,Vente en animalerie,vente-en-animalerie
VENDEUR,C1504,Transaction immobilière (Agent / Agente immobilier….),transaction-immobiliere
